candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
B7-RULE-C011,INTEGRATED,drone_rules,Rules,B7-RULE-KT11,certified-aircraft operating limitations,機体認証を受けた無人航空機で特定飛行を計画しているが、計画速度が認証時に指定された使用条件の上限を超えている。教則に最も合う判断はどれか。,技能証明を持つ操縦者なら使用条件を超えてよい,最大離陸重量・飛行可能高度・速度等として指定された使用条件の範囲内で飛行する必要がある,機体認証後に守る必要があるのは最大離陸重量だけで、速度条件は拘束しない,,B,教則は、機体認証を受けた無人航空機で特定飛行を行う場合、最大離陸重量、飛行可能高度、速度等として指定された使用条件の範囲内で飛行することを求めている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)3)a「使用の条件の遵守」（教則表示ページ24 / PDF viewer 29）,機体認証を受けた無人航空機で特定飛行する場合は、指定された使用条件の範囲内で運航する。,機体認証を受けた機体なら、認証時に指定された高度・速度等の使用条件を超えても特定飛行できる。,certified aircraft -> read specified use conditions -> keep operation inside certified envelope,Tier A。Q049はカテゴリーII-Bの手続条件として機体認証を扱う。本問は認証機の運用限界そのものを問う。,DRONE-Q-000226
B7-RULE-C012,INTEGRATED,drone_rules,Rules,B7-RULE-KT12,certified-aircraft maintenance obligation,機体認証を受けた無人航空機に目立つ異常はないが、無人航空機整備手順書で定める整備時期に達した。教則に最も合う対応はどれか。,異常が出るまで整備せず、そのまま使用する,安全基準への適合を維持するため、整備手順書等に従って必要な整備を行う,登録が有効なら、機体認証後の整備手順は任意である,,B,教則は、機体認証を受けた無人航空機について、安全基準への適合を維持するため、無人航空機整備手順書等に従って必要な整備を行う義務を示している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)3)b「必要な整備の義務」（教則表示ページ24 / PDF viewer 29）,機体認証を受けた無人航空機は、安全基準適合を維持するため整備手順書等に従い必要な整備を行う。,機体認証後は、異常が発生するまでメーカー等の整備手順に従う義務はない。,certified aircraft in service -> maintenance procedure -> maintain safety-standard conformity,Tier A。Q049は機体認証の手続上の役割を問うが、機体認証に伴う継続整備義務は直接問っていない。,DRONE-Q-000227
B7-RULE-C013,INTEGRATED,drone_rules,Rules,B7-RULE-KT13,Category II-A prior approval,技能証明を受けた操縦者が、機体認証を受けた機体でカテゴリーII-A飛行を行う。教則上の手続として最も適切なものはどれか。,カテゴリーII-Bと同様に、個別の許可・承認は不要である,運航管理の方法について事前審査を受け、飛行の許可・承認を受ける必要がある,機体認証があれば、飛行計画の通報だけで足りる,,B,教則は、カテゴリーII-Aでは、技能証明を受けた操縦者が機体認証済みの機体を使用する場合でも、運航管理の方法について事前審査を受け、飛行の許可・承認を受ける必要があるとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(4)1)「安全確保措置等」（教則表示ページ27 / PDF viewer 32）,カテゴリーII-Aは、技能証明・機体認証がそろっていても運航管理の事前審査と許可・承認を要する。,技能証明と機体認証がそろえば、カテゴリーII-AでもカテゴリーII-Bと同様に個別の許可・承認を省略できる。,Category II flight -> identify II-A -> certification route does not remove prior operational-management approval,Tier B。parent=Category II procedure route。distinct axes=aircraft_or_operation_applicability + decision_boundary_or_exception。Q049はII-Bの手続省略側を問う。本問はII-Aという別subtypeで許可・承認が必要となる反対側の手続境界を問う。,DRONE-Q-000228
B7-RULE-C014,INTEGRATED,drone_rules,Rules,B7-RULE-KT14,Level 3.5 classification and camera substitution,レベル3.5飛行について、教則に最も合う説明はどれか。,カテゴリーIIIに相当し、第三者上空を含め立入管理措置は不要になる,カテゴリーIIに位置付けられ、機上カメラで無人状態を確認することで補助者・看板等の一部措置を代替できるが、立入管理そのものが不要になるわけではない,機上カメラを使えばカテゴリーIとなり、特定飛行ではなくなる,,B,教則は、レベル3.5飛行をカテゴリーIIに位置付け、機上カメラで飛行経路下の無人状態を確認することで補助者や看板等の一部立入管理措置を代替できる仕組みとしている。第三者上空を自由に飛行できる制度ではない。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(2)4)c「レベル3.5飛行」（教則表示ページ20 / PDF viewer 25）,レベル3.5飛行はカテゴリーIIであり、機上カメラによる確認で一部立入管理措置を代替するが立入管理自体は消滅しない。,レベル3.5は第三者上空を自由に飛べるカテゴリーIII相当で、立入管理措置が全面的に不要になる。,Level 3.5 conditions -> camera-based confirmation -> partial substitution of access controls -> remain Category II,Tier A。Q028はカテゴリーII/IIIの一般区分、Q215はレベル3.5の保険要件を問う。法的位置付けとカメラによる一部代替の境界は未出。,DRONE-Q-000229
B7-RULE-C015,INTEGRATED,drone_rules,Rules,B7-RULE-KT15,Level 3.5 moving-vehicle crossing boundary,レベル3.5飛行の要件を満たし、道路を一時的に横断する。移動中の車両と歩行者の上空について、教則に最も合うものはどれか。,要件を満たす場合、移動中の車両等の上空は一時的に横断できるが、歩行者等の第三者上空まで同様に認められるわけではない,移動中の車両も歩行者も、レベル3.5なら同じ条件で自由に上空飛行できる,レベル3.5でも移動中の車両上空を一時的に横断することは一切できない,,A,教則は、レベル3.5の要件を満たす場合、道路等を一時的に横断して移動中の車両等の上空を飛行できるとしている一方、歩行者等の第三者上空飛行まで認めるものではない。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(2)4)c「レベル3.5飛行」（教則表示ページ20 / PDF viewer 25）,レベル3.5では所定要件下で移動中車両等の上空を一時横断できるが、歩行者等の第三者上空までは許容されない。,レベル3.5の要件を満たせば、移動中の車両だけでなく歩行者の上空も同じように横断できる。,Level 3.5 crossing -> classify moving-vehicle occupant vs exposed pedestrian -> apply narrow exception only to vehicle crossing,Tier B。parent=Level 3.5 third-party-overflight boundary。distinct axes=scenario_state_or_flight_phase + decision_boundary_or_exception。Q013は停止車両等による遮蔽の一般例外、Q215は保険要件。本問はLevel 3.5固有の移動中車両と歩行者の境界を問う。,DRONE-Q-000230
B7-RULE-C016,INTEGRATED,drone_rules,Rules,B7-RULE-KT16,skill-certificate minimum age,15歳の者が必要な学習を行い、無人航空機操縦者技能証明を申請しようとしている。教則に最も合うものはどれか。,試験に合格できれば年齢に関係なく申請できる,16歳に満たないため技能証明を申請できない,二等技能証明に限っては16歳未満でも申請できる,,B,教則は、16歳に満たない者は無人航空機操縦者技能証明の申請をすることができないとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(5)2)「技能証明の資格要件」（教則表示ページ28 / PDF viewer 33）,16歳に満たない者は無人航空機操縦者技能証明を申請できない。,技能証明は試験に合格できれば年齢にかかわらず申請できる。,applicant -> age qualification gate -> application eligibility,Tier A。Q109は技能証明の更新時期を問う。申請時の最低年齢ゲートは未出。,DRONE-Q-000231
B7-RULE-C017,INTEGRATED,drone_rules,Rules,B7-RULE-KT17,skill-certificate examination sequence,無人航空機操縦者技能証明の試験を受ける。学科試験に合格する前に実地試験を先に受けたい。教則に最も合うものはどれか。,学科試験と実地試験は順不同なので、実地試験を先に受けられる,学科試験に合格しなければ実地試験を受けることはできない,二等技能証明だけは実地試験を先に受けられる,,B,教則は、技能証明試験では学科試験に合格しなければ実地試験を受けることができないとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(5)3)「技能証明の交付手続き」（教則表示ページ28 / PDF viewer 33）,技能証明試験では学科試験合格が実地試験受験の前提となる。,学科試験と実地試験は順不同で受験できる。,skill-certificate exam -> knowledge gate -> practical-test eligibility,Tier A。Q109/Q111は更新・携行を問う。技能証明試験の受験順序は未出。,DRONE-Q-000232
B7-RULE-C018,INTEGRATED,drone_rules,Rules,B7-RULE-KT18,registered-training practical-test exemption,国の登録を受けた登録講習機関で所定の講習を修了した。技能証明試験の実地試験について、教則に最も合うものはどれか。,登録講習機関を修了しても、実地試験は必ず受けなければならない,所定講習の修了により、技能証明試験の実地試験を免除できる,所定講習を修了すれば、学科試験も含めすべての試験が自動的に免除される,,B,教則は、国の登録を受けた登録講習機関の所定講習を修了した者について、技能証明試験の実地試験を免除できるとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(5)3)「技能証明の交付手続き」（教則表示ページ28 / PDF viewer 33）,登録講習機関の所定講習修了者は技能証明試験の実地試験を免除できる。,登録講習機関を修了しても、指定試験機関の実地試験は必ず受けなければならない。,registered training completion -> statutory exemption route -> practical test may be omitted,Tier A。現行canonicalに登録講習機関修了による実地試験免除ルートを直接問う問題はない。,DRONE-Q-000233
B7-RULE-C019,INTEGRATED,drone_rules,Rules,B7-RULE-KT19,Powered-lift certificate limitations,Powered-lift機を飛行させるために必要な技能証明の種類の限定について、教則に最も合うものはどれか。,回転翼航空機（マルチローター）の限定だけでよい,飛行機の限定だけでよい,回転翼航空機（マルチローター）と飛行機の両方の種類の限定に係る資格が必要である,,C,教則は、Powered-lift機を飛行させるには、回転翼航空機（マルチローター）と飛行機の両方の種類の限定に係る資格が必要としている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(5)1)「制度概要」（教則表示ページ28 / PDF viewer 33）,Powered-lift機にはマルチローターと飛行機の両方の種類の限定に係る資格が必要である。,Powered-lift機は独立した1種類の限定だけ取得すれば飛行できる。,aircraft type = Powered-lift -> map hybrid type to certificate limitations -> require both multirotor and airplane qualifications,Tier A。Q142はPowered-liftの飛行特性を問う。本問は同じ機体類型に対する法的な技能証明限定要件を問うため、答えを定める命題が異なる。,DRONE-Q-000234
B7-RULE-C020,INTEGRATED,drone_rules,Rules,B7-RULE-KT20,skill-certificate limitation compliance,技能証明を受けた者が、その証明で限定された無人航空機の種類・飛行方法の範囲を超える特定飛行を、別途の許可・承認なしで行おうとしている。教則に最も合うものはどれか。,技能証明を一度取得していれば、限定範囲を超えても追加手続なしで特定飛行できる,原則として証明の限定範囲内で飛行する必要があり、範囲を超える場合は別途の飛行許可・承認を受ける必要がある,限定されるのは無人航空機の種類だけであり、飛行方法の限定は遵守しなくてよい,,B,教則は、技能証明を受けた者が特定飛行を行う場合、原則として証明に限定された無人航空機の種類・飛行方法の範囲内で飛行することを求めている。限定を超える場合には、別途飛行の許可・承認を受ける方法がある。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(5)4)「技能証明を受けた者の義務」（教則表示ページ29 / PDF viewer 34）,技能証明保持者は特定飛行で証明の機体種類・飛行方法の限定を守り、範囲外は別途許可・承認を要する。,技能証明を一度取得すれば、限定された機体種類や飛行方法を超えても追加手続なしで特定飛行できる。,special flight -> read certificate limitations -> stay within scope unless separate approval route applies,Tier A。Q109/Q111は技能証明の更新・携行を問う。運航時の限定遵守と別許可・承認の例外ルートは未出。,DRONE-Q-000235
